section,subsection,function_name,parameters,description,source_url
Index,IntervalIndex components,IntervalIndex.is_overlapping,,"Return True if the IntervalIndex has overlapping intervals, else False.",https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.is_overlapping.html
Index,IntervalIndex components,IntervalIndex.get_loc,key,"Get integer location, slice or boolean mask for requested label.",https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.get_loc.html
Index,IntervalIndex components,IntervalIndex.get_indexer,"target[, method, ...]",Compute indexer and mask for new index given the current index.,https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.get_indexer.html
Index,IntervalIndex components,IntervalIndex.set_closed,closed,Return an identical IntervalArray closed on the specified side.,https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.set_closed.html
Index,IntervalIndex components,IntervalIndex.contains,other,Check elementwise if the Intervals contain the value.,https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.contains.html
Index,IntervalIndex components,IntervalIndex.overlaps,other,Check elementwise if an Interval overlaps the values in the IntervalArray.,https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.overlaps.html
Index,IntervalIndex components,IntervalIndex.to_tuples,[na_tuple],"Return an ndarray (if self is IntervalArray) or Index         (if self is IntervalIndex) of tuples of the form (left, right).",https://pandas.pydata.org/docs/reference/api/pandas.IntervalIndex.to_tuples.html
Index,MultiIndex,MultiIndex,"[levels, codes, sortorder, ...]","A multi-level, or hierarchical, index object for pandas objects.",https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.html
Index,MultiIndex constructors,MultiIndex.from_arrays,"arrays[, sortorder, ...]",Convert arrays to MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.from_arrays.html
Index,MultiIndex constructors,MultiIndex.from_tuples,"tuples[, sortorder, ...]",Convert list of tuples to MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.from_tuples.html
Index,MultiIndex constructors,MultiIndex.from_product,"iterables[, ...]",Make a MultiIndex from the cartesian product of multiple iterables.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.from_product.html
Index,MultiIndex constructors,MultiIndex.from_frame,"df[, sortorder, names]",Make a MultiIndex from a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.from_frame.html
Index,MultiIndex properties,MultiIndex.names,,Names of levels in MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.names.html
Index,MultiIndex properties,MultiIndex.levels,,Levels of the MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.levels.html
Index,MultiIndex properties,MultiIndex.codes,,Codes of the MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.codes.html
Index,MultiIndex properties,MultiIndex.nlevels,,Integer number of levels in this MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.nlevels.html
Index,MultiIndex properties,MultiIndex.levshape,,A tuple representing the length of each level in the MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.levshape.html
Index,MultiIndex properties,MultiIndex.dtypes,,Return the dtypes as a Series for the underlying MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.dtypes.html
Index,MultiIndex components,MultiIndex.set_levels,"levels, *[, level, ...]",Set new levels on MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.set_levels.html
Index,MultiIndex components,MultiIndex.set_codes,"codes, *[, level, ...]",Set new codes on MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.set_codes.html
Index,MultiIndex components,MultiIndex.to_flat_index,,Convert a MultiIndex to an Index of Tuples containing the level values.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.to_flat_index.html
Index,MultiIndex components,MultiIndex.to_frame,"[index, name, ...]",Create a DataFrame with the levels of the MultiIndex as columns.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.to_frame.html
Index,MultiIndex components,MultiIndex.sortlevel,"[level, ascending, ...]",Sort MultiIndex at the requested level.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.sortlevel.html
Index,MultiIndex components,MultiIndex.droplevel,[level],Return index with requested level(s) removed.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.droplevel.html
Index,MultiIndex components,MultiIndex.swaplevel,"[i, j]",Swap level i with level j.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.swaplevel.html
Index,MultiIndex components,MultiIndex.reorder_levels,order,Rearrange levels using input order.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.reorder_levels.html
Index,MultiIndex components,MultiIndex.remove_unused_levels,,Create new MultiIndex from current that removes unused levels.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.remove_unused_levels.html
Index,MultiIndex components,MultiIndex.drop,"codes[, level, errors]",Make a new pandas.MultiIndex with the passed list of codes deleted.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.drop.html
Index,MultiIndex components,MultiIndex.copy,"[names, deep, name]",Make a copy of this object.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.copy.html
Index,MultiIndex components,MultiIndex.append,other,Append a collection of Index options together.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.append.html
Index,MultiIndex components,MultiIndex.truncate,"[before, after]","Slice index between two labels / tuples, return new MultiIndex.",https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.truncate.html
Index,MultiIndex selecting,MultiIndex.get_loc,key,Get location for a label or a tuple of labels.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.get_loc.html
Index,MultiIndex selecting,MultiIndex.get_locs,seq,Get location for a sequence of labels.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.get_locs.html
Index,MultiIndex selecting,MultiIndex.get_loc_level,"key[, level, ...]",Get location and sliced index for requested label(s)/level(s).,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.get_loc_level.html
Index,MultiIndex selecting,MultiIndex.get_indexer,"target[, method, ...]",Compute indexer and mask for new index given the current index.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.get_indexer.html
Index,MultiIndex selecting,MultiIndex.get_level_values,level,Return vector of label values for requested level.,https://pandas.pydata.org/docs/reference/api/pandas.MultiIndex.get_level_values.html
Index,MultiIndex selecting,IndexSlice,,Create an object to more easily perform multi-index slicing.,https://pandas.pydata.org/docs/reference/api/pandas.IndexSlice.html
Index,DatetimeIndex,DatetimeIndex,"[data, freq, tz, ambiguous, ...]",Immutable ndarray-like of datetime64 data.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.html
Index,Time/date components,DatetimeIndex.year,,The year of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.year.html
Index,Time/date components,DatetimeIndex.month,,"The month as January=1, December=12.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.month.html
Index,Time/date components,DatetimeIndex.day,,The day of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.day.html
Index,Time/date components,DatetimeIndex.hour,,The hours of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.hour.html
Index,Time/date components,DatetimeIndex.minute,,The minutes of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.minute.html
Index,Time/date components,DatetimeIndex.second,,The seconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.second.html
Index,Time/date components,DatetimeIndex.microsecond,,The microseconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.microsecond.html
Index,Time/date components,DatetimeIndex.nanosecond,,The nanoseconds of the datetime.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.nanosecond.html
Index,Time/date components,DatetimeIndex.date,,Returns numpy array of python datetime.date objects.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.date.html
Index,Time/date components,DatetimeIndex.time,,Returns numpy array of datetime.time objects.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.time.html
Index,Time/date components,DatetimeIndex.timetz,,Returns numpy array of datetime.time objects with timezones.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.timetz.html
Index,Time/date components,DatetimeIndex.dayofyear,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.dayofyear.html
Index,Time/date components,DatetimeIndex.day_of_year,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.day_of_year.html
Index,Time/date components,DatetimeIndex.dayofweek,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.dayofweek.html
Index,Time/date components,DatetimeIndex.day_of_week,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.day_of_week.html
Index,Time/date components,DatetimeIndex.weekday,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.weekday.html
Index,Time/date components,DatetimeIndex.quarter,,The quarter of the date.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.quarter.html
Index,Time/date components,DatetimeIndex.tz,,Return the timezone.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.tz.html
Index,Time/date components,DatetimeIndex.freq,,"Return the frequency object if it is set, otherwise None.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.freq.html
Index,Time/date components,DatetimeIndex.freqstr,,"Return the frequency object as a string if it's set, otherwise None.",https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.freqstr.html
Index,Time/date components,DatetimeIndex.is_month_start,,Indicates whether the date is the first day of the month.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_month_start.html
Index,Time/date components,DatetimeIndex.is_month_end,,Indicates whether the date is the last day of the month.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_month_end.html
Index,Time/date components,DatetimeIndex.is_quarter_start,,Indicator for whether the date is the first day of a quarter.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_quarter_start.html
Index,Time/date components,DatetimeIndex.is_quarter_end,,Indicator for whether the date is the last day of a quarter.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_quarter_end.html
Index,Time/date components,DatetimeIndex.is_year_start,,Indicate whether the date is the first day of a year.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_year_start.html
Index,Time/date components,DatetimeIndex.is_year_end,,Indicate whether the date is the last day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_year_end.html
Index,Time/date components,DatetimeIndex.is_leap_year,,Boolean indicator if the date belongs to a leap year.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.is_leap_year.html
Index,Time/date components,DatetimeIndex.inferred_freq,,Return the inferred frequency of the index.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.inferred_freq.html
Index,Selecting,DatetimeIndex.indexer_at_time,"time[, asof]",Return index locations of values at particular time of day.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.indexer_at_time.html
Index,Selecting,DatetimeIndex.indexer_between_time,"...[, ...]",Return index locations of values between particular times of day.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.indexer_between_time.html
Index,Time-specific operations,DatetimeIndex.normalize,,Convert times to midnight.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.normalize.html
Index,Time-specific operations,DatetimeIndex.strftime,date_format,Convert to Index using specified date_format.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.strftime.html
Index,Time-specific operations,DatetimeIndex.snap,[freq],Snap time stamps to nearest occurring frequency.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.snap.html
Index,Time-specific operations,DatetimeIndex.tz_convert,tz,Convert tz-aware Datetime Array/Index from one time zone to another.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.tz_convert.html
Index,Time-specific operations,DatetimeIndex.tz_localize,"tz[, ambiguous, ...]",Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.tz_localize.html
Index,Time-specific operations,DatetimeIndex.round,"freq[, ambiguous, ...]",Perform round operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.round.html
Index,Time-specific operations,DatetimeIndex.floor,"freq[, ambiguous, ...]",Perform floor operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.floor.html
Index,Time-specific operations,DatetimeIndex.ceil,"freq[, ambiguous, ...]",Perform ceil operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.ceil.html
Index,Time-specific operations,DatetimeIndex.month_name,[locale],Return the month names with specified locale.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.month_name.html
Index,Time-specific operations,DatetimeIndex.day_name,[locale],Return the day names with specified locale.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.day_name.html
Index,Conversion,DatetimeIndex.as_unit,"unit[, round_ok]",Convert to a dtype with the given unit resolution.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.as_unit.html
Index,Conversion,DatetimeIndex.to_period,[freq],Cast to PeriodArray/PeriodIndex at a particular frequency.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.to_period.html
Index,Conversion,DatetimeIndex.to_pydatetime,,Return an ndarray of datetime.datetime objects.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.to_pydatetime.html
Index,Conversion,DatetimeIndex.to_series,"[index, name]",Create a Series with both index and values equal to the index keys.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.to_series.html
Index,Conversion,DatetimeIndex.to_frame,"[index, name]",Create a DataFrame with a column containing the Index.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.to_frame.html
Index,Conversion,DatetimeIndex.to_julian_date,,Convert TimeStamp to a Julian Date.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.to_julian_date.html
Index,Methods,DatetimeIndex.mean,"*[, skipna, axis]",Return the mean value of the Array.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.mean.html
Index,Methods,DatetimeIndex.std,"[axis, dtype, out, ddof, ...]",Return sample standard deviation over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DatetimeIndex.std.html
Index,TimedeltaIndex,TimedeltaIndex,"[data, freq, dtype, copy, name]",Immutable Index of timedelta64 data.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.html
Index,Components,TimedeltaIndex.days,,Number of days for each element.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.days.html
Index,Components,TimedeltaIndex.seconds,,Number of seconds (>= 0 and less than 1 day) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.seconds.html
Index,Components,TimedeltaIndex.microseconds,,Number of microseconds (>= 0 and less than 1 second) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.microseconds.html
Index,Components,TimedeltaIndex.nanoseconds,,Number of nanoseconds (>= 0 and less than 1 microsecond) for each element.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.nanoseconds.html
Index,Components,TimedeltaIndex.components,,Return a DataFrame of the individual resolution components of the Timedeltas.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.components.html
Index,Components,TimedeltaIndex.inferred_freq,,Return the inferred frequency of the index.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.inferred_freq.html
Index,Conversion,TimedeltaIndex.as_unit,unit,Convert to a dtype with the given unit resolution.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.as_unit.html
Index,Conversion,TimedeltaIndex.to_pytimedelta,,Return an ndarray of datetime.timedelta objects.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.to_pytimedelta.html
Index,Conversion,TimedeltaIndex.to_series,"[index, name]",Create a Series with both index and values equal to the index keys.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.to_series.html
Index,Conversion,TimedeltaIndex.round,"freq[, ambiguous, ...]",Perform round operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.round.html
Index,Conversion,TimedeltaIndex.floor,"freq[, ambiguous, ...]",Perform floor operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.floor.html
Index,Conversion,TimedeltaIndex.ceil,"freq[, ambiguous, ...]",Perform ceil operation on the data to the specified freq .,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.ceil.html
Index,Conversion,TimedeltaIndex.to_frame,"[index, name]",Create a DataFrame with a column containing the Index.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.to_frame.html
Index,Methods,TimedeltaIndex.mean,"*[, skipna, axis]",Return the mean value of the Array.,https://pandas.pydata.org/docs/reference/api/pandas.TimedeltaIndex.mean.html
Index,PeriodIndex,PeriodIndex,"[data, freq, dtype, copy, name]",Immutable ndarray holding ordinal values indicating regular periods in time.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.html
Index,Properties,PeriodIndex.day,,The days of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.day.html
Index,Properties,PeriodIndex.dayofweek,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.dayofweek.html
Index,Properties,PeriodIndex.day_of_week,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.day_of_week.html
Index,Properties,PeriodIndex.dayofyear,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.dayofyear.html
Index,Properties,PeriodIndex.day_of_year,,The ordinal day of the year.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.day_of_year.html
Index,Properties,PeriodIndex.days_in_month,,The number of days in the month.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.days_in_month.html
Index,Properties,PeriodIndex.daysinmonth,,The number of days in the month.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.daysinmonth.html
Index,Properties,PeriodIndex.end_time,,Get the Timestamp for the end of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.end_time.html
Index,Properties,PeriodIndex.freq,,"Return the frequency object if it is set, otherwise None.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.freq.html
Index,Properties,PeriodIndex.freqstr,,"Return the frequency object as a string if it's set, otherwise None.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.freqstr.html
Index,Properties,PeriodIndex.hour,,The hour of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.hour.html
Index,Properties,PeriodIndex.is_leap_year,,Logical indicating if the date belongs to a leap year.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.is_leap_year.html
Index,Properties,PeriodIndex.minute,,The minute of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.minute.html
Index,Properties,PeriodIndex.month,,"The month as January=1, December=12.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.month.html
Index,Properties,PeriodIndex.quarter,,The quarter of the date.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.quarter.html
Index,Properties,PeriodIndex.qyear,,Fiscal year the Period lies in according to its starting-quarter.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.qyear.html
Index,Properties,PeriodIndex.second,,The second of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.second.html
Index,Properties,PeriodIndex.start_time,,Get the Timestamp for the start of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.start_time.html
Index,Properties,PeriodIndex.week,,The week ordinal of the year.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.week.html
Index,Properties,PeriodIndex.weekday,,"The day of the week with Monday=0, Sunday=6.",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.weekday.html
Index,Properties,PeriodIndex.weekofyear,,The week ordinal of the year.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.weekofyear.html
Index,Properties,PeriodIndex.year,,The year of the period.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.year.html
Index,Methods,PeriodIndex.asfreq,"[freq, how]",Convert the PeriodArray to the specified frequency freq .,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.asfreq.html
Index,Methods,PeriodIndex.strftime,date_format,Convert to Index using specified date_format.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.strftime.html
Index,Methods,PeriodIndex.to_timestamp,"[freq, how]",Cast to DatetimeArray/Index.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.to_timestamp.html
Index,Methods,PeriodIndex.from_fields,"*[, year, quarter, ...]","Construct a PeriodIndex from fields (year, month, day, etc.).",https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.from_fields.html
Index,Methods,PeriodIndex.from_ordinals,"ordinals, *, freq",Construct a PeriodIndex from ordinals.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.from_ordinals.html
Input/Output,Pickling,read_pickle,"filepath_or_buffer[, ...]",Load pickled pandas object (or any object) from file and return unpickled object.,https://pandas.pydata.org/docs/reference/api/pandas.read_pickle.html
Input/Output,Pickling,DataFrame.to_pickle,"path, *[, compression, ...]",Pickle (serialize) object to file.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_pickle.html
Input/Output,Flat file,read_table,"filepath_or_buffer, *[, sep, ...]",Read general delimited file into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_table.html
Input/Output,Flat file,read_csv,"filepath_or_buffer, *[, sep, ...]",Read a comma-separated values (csv) file into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_csv.html
Input/Output,Flat file,DataFrame.to_csv,"[path_or_buf, sep, na_rep, ...]",Write object to a comma-separated values (csv) file.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_csv.html
Input/Output,Flat file,read_fwf,"filepath_or_buffer, *[, colspecs, ...]",Read a table of fixed-width formatted lines into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_fwf.html
Input/Output,Clipboard,read_clipboard,"[sep, dtype_backend]",Read text from clipboard and pass to read_csv() .,https://pandas.pydata.org/docs/reference/api/pandas.read_clipboard.html
Input/Output,Clipboard,DataFrame.to_clipboard,"*[, excel, sep]",Copy object to the system clipboard.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_clipboard.html
Input/Output,Excel,read_excel,"io[, sheet_name, header, names, ...]",Read an Excel file into a DataFrame .,https://pandas.pydata.org/docs/reference/api/pandas.read_excel.html
Input/Output,Excel,DataFrame.to_excel,"excel_writer, *[, ...]",Write object to an Excel sheet.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_excel.html
Input/Output,Excel,ExcelFile,"path_or_buffer[, engine, ...]",Class for parsing tabular Excel sheets into DataFrame objects.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.html
Input/Output,Excel,ExcelFile.book,,Gets the Excel workbook.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.book.html
Input/Output,Excel,ExcelFile.sheet_names,,Names of the sheets in the document.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.sheet_names.html
Input/Output,Excel,ExcelFile.parse,"[sheet_name, header, names, ...]",Parse specified sheet(s) into a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.parse.html
Input/Output,Excel,Styler.to_excel,"excel_writer[, sheet_name, ...]",Write Styler to an Excel sheet.,https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.to_excel.html
Input/Output,Excel,ExcelWriter,"path[, engine, date_format, ...]",Class for writing DataFrame objects into excel sheets.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelWriter.html
Input/Output,JSON,read_json,"path_or_buf, *[, orient, typ, ...]",Convert a JSON string to pandas object.,https://pandas.pydata.org/docs/reference/api/pandas.read_json.html
Input/Output,JSON,json_normalize,"data[, record_path, meta, ...]",Normalize semi-structured JSON data into a flat table.,https://pandas.pydata.org/docs/reference/api/pandas.json_normalize.html
Input/Output,JSON,DataFrame.to_json,"[path_or_buf, orient, ...]",Convert the object to a JSON string.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_json.html
Input/Output,JSON,build_table_schema,"data[, index, ...]",Create a Table schema from data .,https://pandas.pydata.org/docs/reference/api/pandas.io.json.build_table_schema.html
Input/Output,HTML,read_html,"io, *[, match, flavor, header, ...]",Read HTML tables into a list of DataFrame objects.,https://pandas.pydata.org/docs/reference/api/pandas.read_html.html
Input/Output,HTML,DataFrame.to_html,"[buf, columns, col_space, ...]",Render a DataFrame as an HTML table.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_html.html
Input/Output,HTML,Styler.to_html,"[buf, table_uuid, ...]","Write Styler to a file, buffer or string in HTML-CSS format.",https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.to_html.html
Input/Output,XML,read_xml,"path_or_buffer, *[, xpath, ...]",Read XML document into a DataFrame object.,https://pandas.pydata.org/docs/reference/api/pandas.read_xml.html
Input/Output,XML,DataFrame.to_xml,"[path_or_buffer, index, ...]",Render a DataFrame to an XML document.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_xml.html
Input/Output,Latex,DataFrame.to_latex,"[buf, columns, header, ...]","Render object to a LaTeX tabular, longtable, or nested table.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_latex.html
Input/Output,Latex,Styler.to_latex,"[buf, column_format, ...]","Write Styler to a file, buffer or string in LaTeX format.",https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.to_latex.html
Input/Output,HDFStore: PyTables (HDF5),read_hdf,"path_or_buf[, key, mode, errors, ...]","Read from the store, close it if we opened it.",https://pandas.pydata.org/docs/reference/api/pandas.read_hdf.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.put,"key, value[, format, index, ...]",Store object in HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.put.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.append,"key, value[, format, axes, ...]",Append to Table in file.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.append.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.get,key,Retrieve pandas object stored in file.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.get.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.select,"key[, where, start, stop, ...]","Retrieve pandas object stored in file, optionally based on where criteria.",https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.select.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.info,,Print detailed information on the store.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.info.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.keys,[include],Return a list of keys corresponding to objects stored in HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.keys.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.groups,,Return a list of all the top-level nodes.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.groups.html
Input/Output,HDFStore: PyTables (HDF5),HDFStore.walk,[where],Walk the pytables group hierarchy for pandas objects.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.walk.html
Input/Output,Feather,read_feather,"path[, columns, use_threads, ...]",Load a feather-format object from the file path.,https://pandas.pydata.org/docs/reference/api/pandas.read_feather.html
